"f_9094","Points:0","Points:1","Points:2"
0,0.0001016,0.015607,0
0,0.0001016,0.015637,0
0,0.0001016,0.015667,0
0,0.0001016,0.015697,0
0,0.0001016,0.015727,0
0,0.0001016,0.015757,0
0,0.0001016,0.015787,0
0,0.0001016,0.015817,0
0,0.0001016,0.015847,0
0,0.0001016,0.015877,0
0,0.0001016,0.015907,0
0,0.0001016,0.015937,0
0,0.0001016,0.015967,0
0,0.0001016,0.015997,0
0,0.0001016,0.016027,0
0,0.0001016,0.016057,0
0,0.0001016,0.016087,0
0,0.0001016,0.016117,0
0,0.0001016,0.016147,0
0,0.0001016,0.016177,0
0,0.0001016,0.016207,0
0,0.0001016,0.016237,0
0,0.0001016,0.016267,0
0,0.0001016,0.016297,0
0,0.0001016,0.016327,0
0,0.0001016,0.016357,0
0,0.0001016,0.016387,0
0,0.0001016,0.016417,0
0,0.0001016,0.016447,0
0,0.0001016,0.016477,0
0,0.0001016,0.016507,0
0,0.0001016,0.016537,0
0,0.0001016,0.016567,0
0,0.0001016,0.016597,0
0,0.0001016,0.016627,0
0,0.0001016,0.016657,0
0,0.0001016,0.016687,0
0,0.0001016,0.016717,0
0,0.0001016,0.016747,0
0,0.0001016,0.016777,0
0,0.0001016,0.016807,0
0,0.0001016,0.016837,0
0,0.0001016,0.016867,0
0,0.0001016,0.016897,0
0,0.0001016,0.016927,0
0,0.0001016,0.016957,0
0,0.0001016,0.016987,0
0,0.0001016,0.017016,0
0,0.0001016,0.017046,0
0,0.0001016,0.017076,0
0,0.0001016,0.017106,0
0,0.0001016,0.017136,0
0,0.0001016,0.017166,0
0,0.0001016,0.017196,0
0,0.0001016,0.017226,0
0,0.0001016,0.017256,0
0,0.0001016,0.017286,0
0,0.0001016,0.017316,0
0,0.0001016,0.017346,0
0,0.0001016,0.017376,0
0,0.0001016,0.017406,0
0,0.0001016,0.017436,0
0,0.0001016,0.017466,0
0,0.0001016,0.017496,0
0,0.0001016,0.017526,0
0,0.0001016,0.017556,0
0,0.0001016,0.017586,0
0,0.0001016,0.017616,0
0,0.0001016,0.017646,0
0,0.0001016,0.017676,0
0,0.0001016,0.017706,0
0,0.0001016,0.017736,0
0,0.0001016,0.017766,0
0,0.0001016,0.017796,0
0,0.0001016,0.017826,0
0,0.0001016,0.017856,0
0,0.0001016,0.017886,0
0,0.0001016,0.017916,0
0,0.0001016,0.017946,0
0,0.0001016,0.017976,0
0,0.0001016,0.018006,0
0,0.0001016,0.018036,0
0,0.0001016,0.018066,0
0,0.0001016,0.018096,0
0,0.0001016,0.018126,0
0,0.0001016,0.018156,0
0,0.0001016,0.018186,0
0,0.0001016,0.018216,0
0,0.0001016,0.018246,0
0,0.0001016,0.018276,0
0,0.0001016,0.018306,0
0,0.0001016,0.018336,0
0,0.0001016,0.018366,0
0,0.0001016,0.018396,0
0,0.0001016,0.018426,0
0,0.0001016,0.018456,0
0,0.0001016,0.018486,0
0,0.0001016,0.018516,0
0,0.0001016,0.018546,0
0,0.0001016,0.018576,0
0,0.0001016,0.018606,0
0,0.0001016,0.018636,0
0,0.0001016,0.018666,0
0,0.0001016,0.018696,0
0,0.0001016,0.018726,0
0,0.0001016,0.018756,0
0,0.0001016,0.018786,0
0,0.0001016,0.018816,0
0,0.0001016,0.018846,0
0,0.0001016,0.018876,0
0,0.0001016,0.018906,0
0,0.0001016,0.018936,0
0,0.0001016,0.018966,0
0,0.0001016,0.018996,0
0,0.0001016,0.019025,0
0,0.0001016,0.019055,0
0,0.0001016,0.019085,0
0,0.0001016,0.019115,0
0,0.0001016,0.019145,0
0,0.0001016,0.019175,0
0,0.0001016,0.019205,0
0,0.0001016,0.019235,0
0,0.0001016,0.019265,0
0,0.0001016,0.019295,0
0,0.0001016,0.019325,0
0,0.0001016,0.019355,0
0,0.0001016,0.019385,0
0,0.0001016,0.019415,0
0,0.0001016,0.019445,0
0,0.0001016,0.019475,0
0,0.0001016,0.019505,0
0,0.0001016,0.019535,0
0,0.0001016,0.019565,0
0,0.0001016,0.019595,0
0,0.0001016,0.019625,0
0,0.0001016,0.019655,0
0,0.0001016,0.019685,0
0,0.0001016,0.019715,0
0,0.0001016,0.019745,0
0,0.0001016,0.019775,0
0,0.0001016,0.019805,0
0,0.0001016,0.019835,0
0,0.0001016,0.019865,0
0,0.0001016,0.019895,0
0,0.0001016,0.019925,0
0,0.0001016,0.019955,0
0,0.0001016,0.019985,0
0,0.0001016,0.020015,0
0,0.0001016,0.020045,0
0,0.0001016,0.020075,0
0,0.0001016,0.020105,0
0,0.0001016,0.020135,0
0,0.0001016,0.020165,0
0,0.0001016,0.020195,0
0,0.0001016,0.020225,0
0,0.0001016,0.020255,0
0,0.0001016,0.020285,0
0,0.0001016,0.020315,0
0,0.0001016,0.020345,0
0,0.0001016,0.020375,0
0,0.0001016,0.020405,0
0,0.0001016,0.020435,0
0,0.0001016,0.020465,0
0,0.0001016,0.020495,0
0,0.0001016,0.020525,0
0,0.0001016,0.020555,0
0,0.0001016,0.020585,0
0,0.0001016,0.020615,0
0,0.0001016,0.020645,0
0,0.0001016,0.020675,0
0,0.0001016,0.020705,0
0,0.0001016,0.020735,0
0,0.0001016,0.020765,0
0,0.0001016,0.020795,0
0,0.0001016,0.020825,0
0,0.0001016,0.020855,0
0,0.0001016,0.020885,0
0,0.0001016,0.020915,0
0,0.0001016,0.020945,0
0,0.0001016,0.020975,0
0,0.0001016,0.021004,0
0,0.0001016,0.021034,0
0,0.0001016,0.021064,0
0,0.0001016,0.021094,0
0,0.0001016,0.021124,0
0,0.0001016,0.021154,0
0,0.0001016,0.021184,0
0,0.0001016,0.021214,0
0,0.0001016,0.021244,0
0,0.0001016,0.021274,0
0,0.0001016,0.021304,0
0,0.0001016,0.021334,0
0,0.0001016,0.021364,0
0,0.0001016,0.021394,0
0,0.0001016,0.021424,0
0,0.0001016,0.021454,0
0,0.0001016,0.021484,0
0,0.0001016,0.021514,0
0,0.0001016,0.021544,0
0,0.0001016,0.021574,0
0,0.0001016,0.021604,0
0,0.0001016,0.021634,0
0,0.0001016,0.021664,0
0,0.0001016,0.021694,0
0,0.0001016,0.021724,0
0,0.0001016,0.021754,0
0,0.0001016,0.021784,0
0,0.0001016,0.021814,0
0,0.0001016,0.021844,0
0,0.0001016,0.021874,0
0,0.0001016,0.021904,0
0,0.0001016,0.021934,0
0,0.0001016,0.021964,0
0,0.0001016,0.021994,0
0,0.0001016,0.022024,0
0,0.0001016,0.022054,0
0,0.0001016,0.022084,0
0,0.0001016,0.022114,0
0,0.0001016,0.022144,0
0,0.0001016,0.022174,0
0,0.0001016,0.022204,0
0,0.0001016,0.022234,0
0,0.0001016,0.022264,0
0,0.0001016,0.022294,0
0,0.0001016,0.022324,0
0,0.0001016,0.022354,0
0,0.0001016,0.022384,0
0,0.0001016,0.022414,0
0,0.0001016,0.022444,0
0,0.0001016,0.022474,0
0,0.0001016,0.022504,0
0,0.0001016,0.022534,0
0,0.0001016,0.022564,0
0,0.0001016,0.022594,0
0,0.0001016,0.022624,0
0,0.0001016,0.022654,0
0,0.0001016,0.022684,0
0,0.0001016,0.022714,0
0,0.0001016,0.022744,0
0,0.0001016,0.022774,0
0,0.0001016,0.022804,0
0,0.0001016,0.022834,0
0,0.0001016,0.022864,0
0,0.0001016,0.022894,0
0,0.0001016,0.022924,0
0,0.0001016,0.022954,0
0,0.0001016,0.022984,0
0,0.0001016,0.023013,0
0,0.0001016,0.023043,0
0,0.0001016,0.023073,0
0,0.0001016,0.023103,0
0,0.0001016,0.023133,0
0,0.0001016,0.023163,0
0,0.0001016,0.023193,0
0,0.0001016,0.023223,0
0,0.0001016,0.023253,0
0,0.0001016,0.023283,0
0,0.0001016,0.023313,0
0,0.0001016,0.023343,0
0,0.0001016,0.023373,0
0,0.0001016,0.023403,0
0,0.0001016,0.023433,0
0,0.0001016,0.023463,0
0,0.0001016,0.023493,0
0,0.0001016,0.023523,0
0,0.0001016,0.023553,0
0,0.0001016,0.023583,0
0,0.0001016,0.023613,0
0,0.0001016,0.023643,0
0,0.0001016,0.023673,0
0,0.0001016,0.023703,0
0,0.0001016,0.023733,0
0,0.0001016,0.023763,0
0,0.0001016,0.023793,0
0,0.0001016,0.023823,0
0,0.0001016,0.023853,0
0,0.0001016,0.023883,0
0,0.0001016,0.023913,0
0,0.0001016,0.023943,0
0,0.0001016,0.023973,0
0,0.0001016,0.024003,0
0,0.0001016,0.024033,0
0,0.0001016,0.024063,0
